acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Jared Leto,Matt Smith (XI),Adria Arjona",14,105,403848,"Action,Aventure,Fantastique",U.S.A.,Daniel Espinosa,Sony Pictures Releasing France,Morbius
"Enea Sala,Leonardo Maltese,Paolo Pierobon",5,135,85243,Drame,Italie,Marco Bellocchio,Ad Vitam,L'Enlèvement
"Seydou Sarr,Moustapha Fall,Issaka Sawadogo",9,122,65137,Drame,Italie,Matteo Garrone,Pathé,Moi capitaine
"Michael Zindel,Agnès Jaoui,Solal Bouloudnine",5,90,64165,Comédie dramatique,France,Noé Debré,Ad Vitam,Le Dernier des Juifs
"Jalal Altawil,Maja Ostaszewska,Behi Djanati Ataï",5,152,18130,Drame,Pologne,Agnieszka Holland,Condor Distribution,Green Border
"Ben Affleck,Alice Braga,JD Pardo",8,90,189754,"Action,Thriller",U.S.A.,Robert Rodriguez,SND,Hypnotic
" D’Jal,Grégoire Bonnet,Aurélie Boquien",5,94,122868,Comédie,France,Frank Cimière,Sony Pictures Releasing France,Opération Portugal 2: la vie de château
"Greta Lee,Yoo Teo,John Magaro",6,106,40381,Drame,U.S.A.,Celine Song,ARP Sélection,Past Lives – Nos vies d’avant
"Chloé Jouannet,Pascale Arbillot,Louise Coldefy",8,108,59453,Comédie,France,Noémie Lefort,Universal Pictures International France,Mon héroïne
"Vincent Dedienne,Géraldine Nakache,Clémence Poésy",9,101,46091,Comédie,France,Rudy Milstein,Paname Distribution,Je ne suis pas un héros
"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim",12,158,764419,"Aventure,Biopic,Historique",Grande-Bretagne,Ridley Scott,Sony Pictures Releasing France,Napoléon
"François Civil,Vincent Cassel,Romain Duris",23,121,1007159,"Aventure,Historique",France,Martin Bourboulon,Pathé,Les Trois Mousquetaires: D'Artagnan
"Marion Cotillard,Marie Bunel,Marie-Christine Adam",6,95,26508,Drame,France,Mona Achache,Tandem,Little Girl Blue
"David Harbour,Orlando Bloom,Archie Madekwe",10,134,382349,"Action,Drame",U.S.A.,Neill Blomkamp,Sony Pictures Releasing France,Gran Turismo
"Jan Bülow,Olivia Ross,Hanns Zischler",0,118,9404,"Drame,Thriller",Allemagne,Timm Kröger,UFO Distribution,Universal Theory
"François Civil,Vincent Cassel,Romain Duris",15,115,711192,"Aventure,Historique",France,Martin Bourboulon,Pathé,Les Trois Mousquetaires: Milady
,0,38,10004,"Animation,Famille",Grande-Bretagne,Lucy Izzard,Cinéma Public Films,Les Toutes Petites Créatures
