acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Giulia Benite,Stenio Garcia,Leny De Luca",3,76,15551,"Aventure,Animation,Famille",Brésil,Alê Abreu,UFO Distribution,Le Secret des Perlims
"Lionel Dray,Laetitia Casta,Joseph Engel",8,66,12567,Comédie,France,Louis Garrel,Ad Vitam,La Croisade
"Ilan Debrabant,Audrey Lamy,Jean-Paul Rouve",11,103,148775,"Comédie,Famille",France,Julien Rappeneau,Warner Bros. France,Le Trésor du Petit Nicolas
"Vincent Lindon,François Damiens,Pascale Arbillot",5,104,205217,Comédie,France,Jan Kounen,Pathé,Mon Cousin
"Jérémie Renier,Suzanne Clément,Jean-Luc Bideau",6,103,10680,Comédie,Belgique,François Pirot,UFO Distribution,Ailleurs si j'y suis
"Javier Cámara,Griselda Siciliani,Belén Cuesta",6,82,9914,Comédie dramatique,Espagne,Cesc Gay,Wild Bunch Distribution,Sentimental
"Jay Myers,Jonathan Failla,Jeffrey Hylton",3,85,37459,"Aventure,Animation,Famille",Allemagne,"Mette Rank-Tange,Benjamin Quabeck",Paradis Films,Les Aventures de Ricky
"Julie Gayet,Benjamin Biolay,Agathe Bonitzer",5,93,6161,Comédie dramatique,France,Sébastien Bailly,Epicentre Films / Jour2fete,Comme une actrice
"Arieh Worthalter,Achille Reggiani,Y Lan Lucas",8,114,7643,"Drame,Thriller",France,Patricia Mazuy,Paname Distribution,Bowling Saturne
"Marta Nieto,Jules Porier,Alex Brendemühl",4,129,30484,"Drame,Thriller",Espagne,Rodrigo Sorogoyen,Le Pacte,Madre
"Vincent Dedienne,Camélia Jordana,Alix Poisson",7,89,110248,"Comédie,Famille",France,Noémie Saglio,UGC Distribution,Parents d'élèves
"Lyna Khoudri,Sabine Azéma,Maud Wyler",8,112,22520,"Drame,Historique",France,Aurélia Georges,Pyramide Distribution,La Place d'une autre
"Vincent Macaigne,Pio Marmaï,Sara Giraudeau",10,82,41933,Drame,France,Elie Wajeman,Diaphana Distribution,Médecin de nuit
"Fatma Oussaifi,Mohamed Houcine Grayaa,Rami Harrabi",7,92,12336,"Policier,Drame,Thriller",Tunisie,Youssef Chebbi,Jour2fête,"Ashkal, l'enquête de Tunis"
"François Cluzet,José Garcia,Doria Tillier",9,86,36523,Comédie dramatique,France,Christophe Offenstein,UGC Distribution / Orange Studio,Canailles
"Pierfrancesco Favino,Kelly Reilly,Jean Reno",3,114,1009,Drame,France,Amanda Sthers,Madeleine films,Les Promesses
"Joséphine Japy,Olivier Gourmet,Valérie Bonneton",8,105,70150,"Drame,Historique",France,Marc Dugain,Ad Vitam,Eugénie Grandet
"Ryan Reynolds,Samuel L. Jackson,Salma Hayek",11,117,214788,"Action,Comédie",U.S.A.,Patrick Hughes (II),Metropolitan FilmExport,Hitman & Bodyguard 2
"Lydia Leonard,Timothy Spall,Ella Rumpf",5,97,5218,Comédie,Islande,Hafsteinn Gunnar Sigurðsson,Rezo Films,Zone(s) de turbulence
"Maxime Donnay,Dirk Petrick,Benoit Van Dorslaer",0,85,158405,"Aventure,Animation,Famille",Allemagne,Ali Samadi Ahadi,KMBO,Le Royaume des étoiles
"Mathieu Amalric,Josiane Balasko,Mélanie Thierry",10,120,41732,Comédie musicale,France,"Arnaud Larrieu,Jean-Marie Larrieu",Pyramide Distribution,Tralala
"Hugh Laurie,Emilia Clarke,Himesh Patel",6,93,56867,"Aventure,Animation,Famille",Grande-Bretagne,"Toby Genkel,Florian Westermann",KMBO,Maurice le chat fabuleux
"Géraldine Nakache,Andranic Manet,Béatrice de Staël",7,105,3438,Thriller,France,"Béatrice de Staël,Léo Wolfenstein",Paname Distribution,Vacances
"Colin Farrell,Jodie Turner-Smith,Malea Emma Tjandrawidjaja",4,96,14818,"Drame,Science Fiction",U.S.A., Kogonada,Condor Distribution,After Yang
"Laura Paredes,Juliana Muras,Ezequiel Pierri",5,133,1913,Drame,Argentine,Laura Citarella,Capricci Films,Trenque Lauquen - Partie 2
"Jérémie Laheurte,Tracy Gotoas, Bosh",10,92,13060,Drame,France, FGKO,The Jokers / Les Bookmakers,Du crépitement sous les néons
"Steve Laplante,Larissa Corriveau,Hamza Haq",4,104,7358,Comédie,Canada,Stéphane Lafleur,UFO Distribution,On dirait la planète Mars
"Ivan Trojan,Josef Trojan,Juraj Loj",4,119,17917,"Biopic,Drame,Historique",Pologne,Agnieszka Holland,KMBO,Le Procès de l'herboriste
"Anamaria Vartolomei,Roxane Mesquida,Arnaud Valois",4,86,1847,"Drame,Romance",France,Sophie Levy (II),Wayna Pitch,Méduse
"Mara Bugarin,Şerban Lazarovici,Vlad Ivanov",5,102,7028,Drame,Roumanie,Alexandru Belc,Pyramide Distribution,Radio Metronom
"Lua Michel,Ana Padrão,Jacqueline Corado",6,88,12574,Drame,Portugal,Cristèle Alves Meira,Tandem,Alma Viva
"Quentin Santarelli,Maylis de Poncins,Pierre Ménès",0,90,148,"Drame,Science Fiction",France,Benjamin Rancoule,Leva Productions,Si proche du soleil
"Alice Pol, Miou-Miou,Eddy Mitchell",9,103,41645,"Comédie,Policier",France,Nicolas Pleskof,Bac Films,Murder Party
"Philippe Bozo,Oscar Barberán,Guillaume Lebon",0,90,204164,"Aventure,Animation,Famille",Espagne,Enrique Gato,Paramount Pictures France,Tad l'explorateur et la table d'émeraude
"Ashley Park,Sherry Cola,Stephanie Hsu",0,95,9258,Comédie,U.S.A.,Adele Lim,Metropolitan FilmExport,Joy Ride
"Wallace Shawn,Elena Anaya,Gina Gershon",6,92,39643,"Comédie,Romance",U.S.A.,Woody Allen,Apollo Films,Rifkin's Festival
"Haruka Tomatsu,Yoshitsugu Matsuoka,Shiori Izawa",0,101,22622,"Aventure,Animation,Science Fiction",Japon,Ayako Kôno,CGR EVENTS,Sword Art Online - Progressive - Scherzo of Deep Night
"Swann Arlaud,Emmanuelle Devos,Christophe Paou",6,95,22526,Drame,France,Claire Simon,Dulac Distribution,Vous ne désirez que moi
" Vitaa,Anna Kendrick,Matt Pokora",12,94,419574,"Animation,Comédie,Musical",U.S.A.,"David P. Smith,Walt Dohrn",Universal Pictures International France,Les Trolls 2 - Tournée mondiale
"Yû Aoi,Issey Takahashi,Masahiro Higashide",6,115,27949,"Drame,Historique",Japon,Kiyoshi Kurosawa,Art House,Les Amants sacrifiés
"Kaya Kiyohara,Taishi Nakagawa,Matsutera Chiemi",1,98,10060,"Animation,Drame,Romance",Japon,Kotaro Tamura,Eurozoom,"Josée, le tigre et les poissons"
"Sidney Flanigan,Talia Ryder,Théodore Pellerin",7,102,10535,Drame,U.S.A.,Eliza Hittman,Universal Pictures International France,Never Rarely Sometimes Always
"Clara Couturet,Ziad Jallad,Darina Al Joundi",6,83,4016,Drame,France,Wissam Charaf,JHR Films,Dirty Difficult Dangerous
"Yann Gael,Evelyne Ily J.,Roger Salah",0,84,988,"Epouvante-horreur,Thriller",Sénégal,Jean-Luc Herbulot,CGR EVENTS,Saloum
"Stéphane Bak,Alicia Da Luz Gomes,Saabo Balde",7,129,47130,"Drame,Historique",France,Robert Guédiguian,Diaphana Distribution,Twist À Bamako
"Liam Neeson,Kate Walsh,Jai Courtney",7,98,116387,"Action,Thriller",U.S.A.,Mark Williams (II),Metropolitan FilmExport,The Good criminal
"Nuno Lopes,Beatriz Batarda,Kris Hitchen",5,113,441,Drame,Portugal,Marco Martins,Damned Distribution,Un automne à Great Yarmouth
"Salim Kechiouche,Nora Arnezeder,Hassane Alili",5,72,1479,Drame,France,Salim Kechiouche,La Vingt-Cinquième Heure,L'Enfant du paradis
"Victor Belmondo,Yoann Eloundou,Gérard Lanvin",8,91,54583,Comédie dramatique,France,Christophe Barratier,Pathé,Envole-moi
"Jessica Errero,Sabry Jarod",2,85,15,Thriller,France,Sabry Jarod,SOUTHfilms,La Dernière danse
"Thierry Desroses,Samuel L. Jackson,Jérémie Covillault",8,97,151216,"Animation,Comédie,Famille",U.S.A.,"Rob Minkoff,Mark Koetsier,Chris Bailey",SND,Samouraï Academy
"François Creton,Roméo Créton,Richard Bohringer",8,99,7434,"Comédie,Drame",France,Maxime Roy,Pyramide Distribution,Les Héroïques
"Anaïs Demoustier,Josiane Balasko,Philippe Katerine",8,86,26288,Comédie,France,Antonin Peretjatko,Diaphana Distribution,La Pièce rapportée
"François Damiens,Ramzy Bedia,Vanessa Paradis",8,107,51677,"Comédie,Romance",France,Samuel Benchetrit,UGC Distribution,Cette musique ne joue pour personne
"Andra Day,Trevante Rhodes,Garrett Hedlund",11,128,39905,"Biopic,Drame,Musical",U.S.A.,Lee Daniels,Metropolitan FilmExport,"Billie Holiday, une affaire d'état"
"Noël Czuczor,Peter Ondrejička,Florian Panzner",4,94,6658,"Drame,Historique,Guerre",Slovaquie,Peter Bebjak,KMBO,Le Rapport Auschwitz
"Marc Lavoine,Soan Arhimann,Gérard Jugnot",6,95,65637,"Comédie dramatique,Musical",France,Gérard Jugnot,Gaumont Distribution,Le Petit Piaf
"Niels Schneider,Sofian Khammes,India Hair",6,96,12440,"Drame,Thriller",France,Mathieu Gerault,UFO Distribution,Sentinelle sud
,1,44,8127,"Animation,Famille",France,"Déborah Cheyenne Cruchon,Judit Orosz,Nastia Voronina",Little KMBO,Jardins enchantés
"Rémi Caillebot, Avu-chan,Maxime Donnay",8,98,9716,"Animation,Drame,Fantastique",Japon,Masaaki Yuasa,Star Invest Films France,Inu-Oh
"Matthias Schoenaerts,Joel Kinnaman,Maika Monroe",11,90,15334,"Action,Drame,Thriller",U.S.A.,Jérémie Guez,The Jokers / Les Bookmakers,Sons of Philadelphia
"Mauro da Costa,André Cabral,Margarida Vila-Nova",7,67,8026,"Comédie,Comédie musicale,Science Fiction",France,João Pedro Rodrigues,JHR Films,Feu follet
"Audrey Lamy,Lola Raie,Bernardo De Paula",4,80,109322,"Aventure,Animation,Famille",Pérou,"Richard Claus,Jose Zelada",Le Pacte,"Ainbo, princesse d'Amazonie"
"Néhémie Bastien,Fabiola Remy,Djanaïna François",9,93,11074,Drame,Haïti,Gessica Geneus,Nour Films,Freda
"Antoine de Maximy,Alice Pol,Max Boublil",6,96,50838,"Comédie,Thriller",France,Antoine de Maximy,Apollo Films,J’irai mourir dans les Carpates
"Thomas Solivérès,Chloé Jouannet,Nicolas Maury",4,91,211019,"Aventure,Animation,Comédie",Belgique,"Ben Stassen,Benjamin Mousquet",Sony Pictures Releasing France,Hopper et le hamster des ténèbres
"Hye-Young Lee,Hae-hyo Kwon,Yunhee Cho",4,85,7264,Drame,Corée du Sud,Hong Sang-Soo,Capricci Films,Juste sous vos yeux
"Hiba Ghafry,Matsen Montsma,Kees Prins",3,70,6286,"Aventure,Animation,Famille",Pays-Bas,Mascha Halberstad,The Jokers / Les Bookmakers,"Chonchon, le plus mignon des cochons"
"Tim Roth,Charlotte Gainsbourg,Iazua Larios",6,83,31985,"Drame,Thriller",Mexique,Michel Franco,Ad Vitam,Sundown
"Hadi Mohaghegh,Mohammad Eghbali",3,90,8528,Drame,Iran,Hadi Mohaghegh,Bodega Films,L'Odeur du vent
"Vince Vaughn,Kathryn Newton,Celeste O’Connor",12,102,33783,"Comédie,Epouvante-horreur",U.S.A.,Christopher Landon,Universal Pictures International France,Freaky
"Joaquin Phoenix,Gaby Hoffmann,Woody Norman",13,114,20705,Drame,U.S.A.,Mike Mills,Metropolitan FilmExport,Nos âmes d'enfants
"Antonio Saboia,Pedro Fasanaro,Thomas Aquino",4,120,640,"Drame,Romance,Thriller",Brésil,Aly Muritiba,Optimale Distribution,Le Champ des Possibles
"Dylan Penn,Sean Penn,Josh Brolin",13,108,36741,"Biopic,Drame,Thriller",U.S.A.,Sean Penn,Le Pacte,Flag Day
"Javier Cámara,Nicolas Reyes,Juan Pablo Urrego",8,136,8267,"Biopic,Drame,Historique",Colombie,Fernando Trueba,Nour Films,L'Oubli que nous serons
,0,52,16731,"Aventure,Animation,Comédie",Grande-Bretagne,"Steve Cox,Liz Whitaker,David Scanlon",KMBO,L'Incroyable Noël de Shaun le mouton
"Rabah Naït Oufella,Antoine Reinartz,Sofian Khammes",7,87,22203,Drame,France,Laurent Cantet,Memento Distribution,Arthur Rambo
"Nicolas Maury,Nathalie Baye,Arnaud Valois",9,108,10155,"Comédie,Drame",France,Nicolas Maury,Les Films du Losange,Garçon Chiffon
"Harvey Keitel,Goran Visnjic,Sônia Braga",3,113,12767,"Drame,Historique",Portugal,Marco Pontecorvo,Saje Distribution,Fatima
"Alexandra Lamy, Miou-Miou,Jonathan Zaccaï",6,96,141458,Comédie,France,Méliane Marcaggi,UGC Distribution,Belle-Fille
"Elina Löwensohn,Paula Luna,Vimala Pons",9,127,11166,Science Fiction,France,Bertrand Mandico,UFO Distribution,After Blue (Paradis sale)
"Laetitia Dosch,Lolita Chammah,Grégory Montel",7,96,5754,Drame,France,Lisa Diaz,Nour Films,Libre Garance !
"Dwayne Johnson,Kevin Hart,Muriel Robin",10,106,333361,"Aventure,Animation,Famille",U.S.A.,"Jared Stern,Sam Levine",Warner Bros. France,Krypto et les Super-Animaux
"Pete Davidson,Marisa Tomei,Bill Burr",8,137,14320,"Comédie,Drame",U.S.A.,Judd Apatow,Universal Pictures International France,The King Of Staten Island
"Oleksandr Yatsentyuk,Stanislav Potiak,Solomiya Kyrylova",7,102,17829,Drame,Ukraine,Dmytro Sukholytkyy-Sobchuk,Condor Distribution,Le Serment de Pamfir
"Françoise Fabian,Aure Atika,Grégory Montel",8,103,41035,"Comédie,Drame",France,Aurélie Saada,Apollo Films,Rose
"Margherita Buy,Riccardo Scamarcio,Alba Rohrwacher",7,120,65389,"Comédie,Comédie dramatique,Drame",Italie,Nanni Moretti,Le Pacte,Tre Piani
,1,35,284,"Animation,Famille",Belgique,Anton Setola,Les Films du Whippet,Ollie & compagnie
"Waël Sersoub,Tuğba Sunguroğlu,Arben Bajraktaraj",7,95,5398,Thriller,France,Jérémie Guez,The Jokers / Les Bookmakers,"Kanun, la loi du sang"
"Sandrine Bonnaire,Gérard Darmon,Ary Abittan",8,115,105611,"Comédie dramatique,Musical,Romance",France,Claude Lelouch,Metropolitan FilmExport,L'Amour c’est mieux que la vie
"Katie Holmes,Christopher Convery,Owain Yeoman",0,87,95830,"Epouvante-horreur,Thriller",U.S.A.,William Brent Bell,Metropolitan FilmExport,The Boy : la malédiction de Brahms
"Wim Willaert,Vanessa Guide,Laurence Oltuski",2,82,3490,Comédie,Belgique,"Gaëtan Liekens,David Mutzenmacher",Paramax Films,Music Hole
"Anaïs Demoustier,Valeria Bruni Tedeschi,Denis Podalydès",7,99,28954,"Comédie,Romance",France,Charline Bourgeois-Tacquet,Haut et Court,Les Amours d’Anaïs
"Saar Rogiers,Lynn Van Royen,Sebastien Dewaele",4,98,102,"Drame,Famille",Belgique,Domien Huyghe,Les Alchimistes,Sea Sparkle
"Lucile Balézeaux,César Simonot,Mathis Sonzogni",5,107,925,"Comédie dramatique,Romance",France,"Anton Balekdjian,Mattéo Eustachon,Léo Couture",Shellac,Mourir à Ibiza (Un film en trois étés)
,2,40,4986,Animation,France,Hélène Ducrocq,Cinéma Public Films,Les Mal-aimés
"Martin Miller,Teo Inama Chiabrando,Azul Mazzeo",6,100,3463,"Drame,Romance",Argentine,Mariano Biasin,Outplay Films,Sublime
"Luna Pamies,Bárbara Lennie,Nieve de Medina",6,104,7432,"Drame,Romance",Espagne,Elena Lopez Riera,Les Films du Losange,El Agua
"Jo Deseure,Jean Le Peltier,Lucie Debay",5,87,9306,Comédie,Belgique,"Ann Sirot,Raphaël Balboni",Arizona Distribution,Une vie démente
"Afef Ben Mahmoud,Zeineb Sawen,Iheb Bouyahia",9,122,1039,"Drame,Thriller",Tunisie,Mehdi Hmili,La Vingt-Cinquième Heure,Amel & les fauves
"Lili Monori,Annamária Láng,Goya Rego",5,97,6943,Drame,Hongrie,Kornél Mundruczó,Dulac Distribution,Evolution
"Pierre Deladonchamps,Ophélie Bau,Sébastien Houbani",8,95,4233,"Drame,Thriller",France,Peter Dourountzis,Rezo Films,Vaurien
"Andrea Riseborough,Demian Bichir,John Cho",2,94,105972,Epouvante-horreur,U.S.A.,Nicolas Pesce,Sony Pictures Releasing France,The Grudge
,2,60,15304,Animation,France,"Davy Durand,Vincent Patar,Stéphane Aubier",KMBO,"Chien Pourri, la vie à Paris !"
"Zalfa Seurat,Maayane Boganim,Shlomi Elkabetz",4,116,7188,Drame,France,Michale Boganim,Dulac Distribution,Tel Aviv – Beyrouth
"Benoît Poelvoorde,Audrey Dana,Jules Lefebvre",6,105,25406,Drame,France,Jean-Pierre Améris,Ad Vitam,Profession du père
"Marina Foïs,Seear Kohi,Laetitia Dosch",6,112,24084,"Comédie dramatique,Romance",France,Jérémie Elkaïm,Memento Distribution,Ils sont vivants
"Charlotte Gainsbourg,Niels Schneider,Nathan Willcocks",5,91,9052,Drame,France,Benoit Jacquot,Les Films du Losange,Suzanna Andler
,0,35,3370,"Animation,Famille",Norvège,"Natalia Malykhina,Fanny Paoli,Camille Monnier",Les Films du Whippet,Inséparables
"Jarkko Lahti,Hannu-Pekka Björkman,Iivo Tuuri",6,99,553,"Comédie,Comédie dramatique,Drame",Finlande,Mikko Myllylahti,Urban Distribution,L'Etrange histoire du coupeur de bois
"Gilles-Alane Ngalamou Hippocrate,Céline Sallette,Dali Benssalah",7,92,4697,Drame,France,Manuel Schapira,Tandem,Tropique de la violence
"Gérome Barry,Tatiana Eva-Marie, Estéban",4,90,676,"Comédie,Musical,Romance",France,Gérome Barry,Epicentre Films,Swing Rendez-vous
"Shérine Seyad,Jella Haase,Marie Braun",0,80,44064,"Animation,Famille,Fantastique",Luxembourg,Caroline Origer,KMBO,Magic !
"Yoshitsugu Matsuoka,Haruka Tomatsu,Inori Minase",0,97,28400,"Action,Animation,Science Fiction",Japon,Ayako Kôno,CGR EVENTS,Sword Art Online - Progressive - Aria of a Starless Night
"Ruby Stokes,Emily Carey,Michael Maloney",1,104,14543,"Animation,Biopic,Drame",Belgique,Ari Folman,Le Pacte,Où est Anne Frank !
"Halima Benhamed,Sabrina Benhamed,Jawed Hannachi Herzi",8,99,13256,Drame,France,Hafsia Herzi,SBS Distribution,Bonne mère
"François Cluzet,Jérémie Renier,Bérénice Bejo",8,114,30792,"Drame,Thriller",France,Philippe Le Guay,Ad Vitam,L'Homme de la cave
"Laetitia Casta,Jeanne Métivier,Sarah Vergès",4,65,5740,"Aventure,Animation,Famille",Espagne,Chelo Loureiro,Eurozoom,Valentina
"Tom Dewispelaere,Frieda Barnhard,Anniek Pheifer",1,100,3250,"Comédie,Drame,Science Fiction",Pays-Bas,Alex Van Warmerdam,Ed Distribution,N°10
,5,80,14023,"Aventure,Animation,Famille",Norvège,Rasmus A. Sivertsen,Little KMBO,Le Lion et les trois brigands
"Jamie Lee Curtis,Judy Greer,Andi Matichak",12,106,128699,Epouvante-horreur,U.S.A.,David Gordon Green,Universal Pictures International France,Halloween Kills
"Isabela Merced,Marsai Martin,Mckenna Grace",7,87,118045,"Aventure,Animation,Famille",U.S.A.,"Ennio Torresan Jr.,Elaine Bogan",Universal Pictures International France,Spirit : l'indomptable
"Eliska Balzerova,Hynek Cermák,Berenika Kohoutová",5,80,11763,"Animation,Drame",République tchèque,Michaela Pavlatova,Diaphana Distribution,Ma famille afghane
"Amaury de Crayencour,Mathilde Auneveux,Arnaud Maillard",0,109,4758,"Animation,Drame,Science Fiction",France,Pierre Foldes,Gebeka Films,"Saules aveugles, femme endormie"
"Géraldine Pailhas,Arnaud Ducret,Alison Wheeler",8,91,72295,"Comédie,Romance",France,Christopher Thompson,Orange Studio Distribution / UGC Distribution,Tendre Et Saignant
"Damien Ferrette,Damien Ferrette,Julien Crampon",6,83,163520,"Aventure,Animation,Famille",France,Samuel Tourneux,StudioCanal,Le Tour du monde en 80 jours
"James Norton,Daniel Lamont,Carol Moore",6,96,5698,Drame,Grande-Bretagne,Uberto Pasolini,ARP Sélection,Un endroit comme un autre
"Gianni Di Gregorio,Stefania Sandrelli,Alfonso Santagata",4,91,11387,"Comédie,Romance",Italie,Gianni Di Gregorio,Le Pacte,Seconde jeunesse
"John Lloyd Cruz,Ronnie Lazaro,Don Melvin Boongaling",7,187,849,"Drame,Thriller",Philippines,Lav Diaz,Epicentre Films,Quand les vagues se retirent
"Almudena Amor,Vera Valdez,Karina Kolokolchykova",8,100,45509,Epouvante-horreur,Espagne,Paco Plaza,Wild Bunch Distribution,Abuela
,0,35,24494,"Animation,Famille",France,Matthieu Gaillard,KMBO,Pompon Ours
"Fanny Blanchard, Anne,Xavier Fagnon",4,113,11756,"Animation,Drame",Japon,"Masashi Ando,Masayuki Miyaji",Star Invest Films France,Le Roi cerf
"Kev Adams,Oscar Isaac,Mélanie Bernier",5,93,156133,"Animation,Comédie,Famille",U.S.A.,"Greg Tiernan,Conrad Vernon",Universal Pictures International France,La Famille Addams 2 : une virée d'enfer
"Natsuki Hanae,Yûki Kaji,Ayumu Murase",0,95,5279,"Action,Aventure,Animation",Japon,Atsuko Ishizuka,Eurozoom,Goodbye
"Valentina Di Pace,Dominik Fellmann,Danny Exnar",5,111,1170,"Drame,Romance",Suisse,Jan Gassmann,La Vingt-Cinquième Heure,99 Moons
"Ana Girardot,Giovanni Pucci,Samuel Jouy",8,102,16198,"Drame,Fantastique,Epouvante-horreur",France,Arnaud Malherbe,The Jokers / Les Bookmakers,Ogre
"Jelena Kordić Kuret,Adnan Omerovic,Labina Mitevska",5,95,4762,"Drame,Romance",Macédoine,Teona Strugar Mitevska,Pyramide Distribution,L'Homme le plus heureux du monde
"Katia Pascariu,Claudia Ieremia,Olimpia Mălai",7,106,6321,Comédie,Roumanie,Radu Jude,Météore Films,Bad Luck Banging or Loony Porn
"Murathan Muslu,Max von der Groeben,Liv Lisa Fries",6,98,4685,Thriller,Autriche,Stefan Ruzowitzky,Eurozoom,Hinterland
"Noémie Merlant, Soko,Vincent Dedienne",11,108,8255,Drame,France,Marie-Castille Mention-Schaar,Pyramide Distribution,A Good Man
"Carolyn Bracken (II),Hazel Doupe,Jade Jordan",3,93,5932,"Drame,Epouvante-horreur",Irlande,Kate Dolan,Star Invest Films France,Samhain
"Alessandro Nivola,Leslie Odom Jr.,Vera Farmiga",13,123,12136,"Policier,Drame",U.S.A.,Alan Taylor,Warner Bros. France,Many Saints Of Newark - Une histoire des Soprano
"Amer Hlehel,Ashraf Farah,Anat Hadid",9,114,5745,"Comédie,Drame",Palestine,Maha Haj,Dulac Distribution,Fièvre Méditerranéenne
"Itsaso Arana,Francesco Carril,Irene Escolar",6,64,7112,Comédie dramatique,Espagne,Jonás Trueba,Arizona Distribution,Venez voir
"Ismail Adouab,Anas Basbousi,Meriem Nekkach",7,102,15126,"Drame,Musical",Maroc,Nabil Ayouch,Ad Vitam,Haut et Fort
"Prabhas Raju,Prithviraj Sukumaran,Shruti Haasan",0,175,345,"Action,Thriller",Inde,Prashanth Neel,Friday Entertainment,Salaar : Part 1 - Ceasefire
"Robin Wright,Demian Bichir,Sarah Dawn Pledge",8,84,40,Drame,U.S.A.,Robin Wright,Universal Pictures International France,Land
"Lucien Volsy-Roussel,Arnaud Demuynck,Thomas Langlois-Bekaert",0,39,15007,"Animation,Famille",France,"Pascale Hecquet,Isabelle Favez",Cinéma Public Films,Un hérisson dans la neige
"Galatea Bellugi,Emilie Dequenne,Samir Guesmi",3,90,10538,Drame,France,Christine Dory,ARP Sélection,La Fille d’Albino Rodrigue
"Rim Turki,Manal Issa,Paloma Vauthier",5,102,10607,"Comédie,Drame",France,"Khalil Joreige,Joana Hadjithomas",Haut et Court,Memory Box
"Virginie Van Robby,Lucie Debay,Anne Coesens",6,82,1150,Drame,France,Audrey Estrougo,Damned Distribution,À La Folie
"Daniel Brühl,Peter Kurth,Rike Eckermann",6,92,8910,Comédie,Allemagne,Daniel Brühl,Eurozoom,Next Door
"Gerhard Liebmann,Luka Dimic,Julia Koschitz",1,87,176,Drame,Autriche,David Wagner (II),Optimale Distribution,Sergent Major Eismayer
"Adam Bessa,Salima Maatoug,Ikbal Harbi",4,82,9053,Drame,France,Lotfy Nathan,Dulac Distribution,Harka
"Taylor Russell,Logan Miller,Thomas Cocquerel",6,88,82707,"Epouvante-horreur,Thriller",U.S.A.,Adam Robitel,Sony Pictures Releasing France,Escape Game 2 - Le Monde est un piège
"Melvil Poupaud,Daniel Hendler,Vimala Pons",6,98,15757,"Comédie,Thriller",France,Santiago Mitre,KMBO,Petite Fleur
"Alba Rohrwacher,Wajdi Mouawad,Isabelle Zighondi",8,90,13219,Comédie dramatique,France,Chloé Mazlo,Ad Vitam,Sous le ciel d’Alice
"Clément Roussier,Marine Vacth,Diane Rouxel",5,90,3009,"Drame,Romance",France,Brieuc Carnaille,Jour2fête,Le Soleil de trop près
"Tomasz Zietek,Sandra Korzeniak,Jacek Braciak",4,159,13976,"Drame,Historique",Pologne,Jan P. Matuszynski,Memento Distribution,"Varsovie 83, une affaire d'État"
"Laetitia Dosch,Pierre Deladonchamps,Paul Kircher",8,87,5854,"Comédie,Romance",France,Eve Deboise,KMBO,Petite leçon d’amour
"Nuno Lopes,Albano Jerónimo,Edgar Morais",4,127,1884,Drame,Portugal,Tiago Guedes,Alfama Films,Traces
"Chloë Grace Moretz,Frank Welker,Michael Peña",10,101,87570,"Animation,Comédie,Famille",U.S.A.,Tim Story,Warner Bros. France,Tom et Jerry
"Georg Friedrich,Florentina Elena Pop,Hans-Michael Rehberg",4,99,606,Drame,Autriche,Ulrich Seidl,Damned Distribution,Sparta
"Bastien Ughetto,Catherine Deneuve,Thomas Solivérès",7,88,2117,Comédie,Belgique,Benoît Mariage,KMBO,"Habib, la grande aventure"
"Louis Garrel,Camille Cottin,Ina Marija Bartaité",10,107,19728,Drame,France,Rachel Lang (II),Bac Films,Mon légionnaire
"Amir Jadidi,Mohsen Tanabandeh,Fereshteh Sadre Orafaee",7,128,64589,"Drame,Thriller",Iran,Asghar Farhadi,Memento Distribution,Un héros
"Amir El-Masry,Vikash Bhai,Ola Orebiyi",8,104,3912,Drame,Grande-Bretagne,Ben Sharrock,L'Atelier Distribution,Limbo
"Laura Muller,Schemci Lauth",0,92,1084,Romance,France,Julien Hilmoine,Local Films,La Nuit aux amants
"Semyon Serzin,Chulpan Khamatova,Yulia Peresild",9,152,8947,"Drame,Fantastique",France,Kirill Serebrennikov,Bac Films,La Fièvre de Petrov
"Ioanna Gkizas,Minami Takayama,Laëtitia Lienart",4,110,18183,"Action,Aventure,Animation",Japon,Yuzuru Tachikawa,Eurozoom,Détective Conan: le sous-marin noir
"Jean-Claude Drouot, Cali,Danièle Evenou",0,108,40,Comédie dramatique,France,Alan Simon,Babaika,Monsieur Constant
"Do-Yeon Jeon,Woo-Sung Jung,Seong-woo Bae",5,108,34808,"Drame,Thriller",Corée du Sud,Yong-hoon Kim,Wild Bunch Distribution,Lucky Strike
"Eric Zanetacci,Maud Imbert,Angélique Atlan",1,92,76,Comédie,France,Laurent Firode,Bon Voyage Films,Le Monde d’après 2
"Conrad Mericoffer,Alexandru Potocean,Radouan Leflahi",0,81,1436,"Drame,Romance",Roumanie,Eugen Jebeleanu,Optimale Distribution,Poppy Field
"Kang Yoon-soo,Kilala Inori,Yohta Kawase",5,97,2224,Drame,Japon,Yamasaki Juichiro,Survivance,Yamabuki
"Karen Gillan,Lena Headey,Michelle Yeoh",1,114,10853,"Action,Thriller",U.S.A.,Navot Papushado,StudioCanal,Bloody Milkshake
"Yllka Gashi,Cun Lajci,Aurita Agushi",5,84,2197,Drame,Kosovo,Blerta Basholli,ASC Distribution,La Ruche
"Abdirisak Mohamed,Daphne Patakia,Pierre Lottin",4,89,397,Thriller,France,Guillaume Bonnier,À Vif Cinémas / The Dark,Tout Le Monde M'appelle Mike
