acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Diane Kruger",,,  24/07/2019,95 246,,Thriller,Allemagne,,,,,"
                Le Pacte","
                            The Operative",https://www.jpbox-office.com/fichfilm.php?id=19502&view=2
"
                            Diane Kruger",700 000 $,,  24/07/2019,95 246,,Thriller,Allemagne,,,,,"
                Le Pacte","
                            The Operative",https://www.jpbox-office.com/fichfilm.php?id=19502&view=2
,? $,,  09/06/2010,95 198,,Drame,Etats-Unis,,"
                                    Lasse Hallstrom",,,"
                Metropolitan","
                            Hatchi",https://www.jpbox-office.com/fichfilm.php?id=11129&view=2
,8 000 000 $,,  28/05/2003,95 134,Franchise,Horreur,Grande-Bretagne,,"
                                    Danny Boyle",,,"
                UFD","
                            28 jours plus tard",https://www.jpbox-office.com/fichfilm.php?id=1546&view=2
"
                            Elijah Wood",? $,,  07/08/1996,95 215,,Film familial,Etats-Unis,,,,,"
                UIP","
                            Flipper",https://www.jpbox-office.com/fichfilm.php?id=3739&view=2
"
                            Cillian Murphy,
                            Brendan Gleeson",8 000 000 $,,  28/05/2003,95 134,Franchise,Horreur,Grande-Bretagne,,"
                                    Danny Boyle",,,"
                UFD","
                            28 jours plus tard",https://www.jpbox-office.com/fichfilm.php?id=1546&view=2
"
                            Oliver Gourmet,
                            Tahar Rahim,
                            Léa Seydoux,
                            Karim Leklou",,,  28/08/2013,95 280,,Romance,France,,,,,"
                Ad vitam","
                            Grand Central",https://www.jpbox-office.com/fichfilm.php?id=13704&view=2
"
                            Oliver Gourmet,
                            Tahar Rahim,
                            Léa Seydoux,
                            Karim Leklou",3 945 796 €,,  28/08/2013,95 280,,Romance,France,,,,,"
                Ad vitam","
                            Grand Central",https://www.jpbox-office.com/fichfilm.php?id=13704&view=2
"
                            Ethan Hawke",,,  17/01/2018,95 319,,Thriller,Etats-Unis,,,,,"
                SND","
                            24H Limit",https://www.jpbox-office.com/fichfilm.php?id=17534&view=2
"
                            Richard Gere",? $,,  09/06/2010,95 198,,Drame,Etats-Unis,,"
                                    Lasse Hallstrom",,,"
                Metropolitan","
                            Hatchi",https://www.jpbox-office.com/fichfilm.php?id=11129&view=2
"
                            Ethan Hawke",? $,,  17/01/2018,95 319,,Thriller,Etats-Unis,,,,,"
                SND","
                            24H Limit",https://www.jpbox-office.com/fichfilm.php?id=17534&view=2
,75 000 000 $,,  27/08/2008,93 875,,Comédie,Etats-Unis,,"
                                    Dennis Dugan",,,"
                Sony Pictures","
                            Rien que pour vos cheveux",https://www.jpbox-office.com/fichfilm.php?id=9880&view=2
,12 000 000 $,,  09/06/2010,93 876,,Horreur,Etats-Unis,,,Remake,,"
                SND","
                            The Crazies (2010)",https://www.jpbox-office.com/fichfilm.php?id=11144&view=2
,31 500 000 $,,  04/05/2016,94 036,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Criminal - Un espion dans la tête",https://www.jpbox-office.com/fichfilm.php?id=15788&view=2
"
                            Henry Cavill,
                            Sigourney Weaver,
                            Bruce Willis,
                            Roschdy Zem",,,  02/05/2012,94 055,,Thriller,Etats-Unis,,,,,"
                SND","
                            Sans issue (2012)",https://www.jpbox-office.com/fichfilm.php?id=12272&view=2
"
                            Henry Cavill,
                            Sigourney Weaver,
                            Bruce Willis,
                            Roschdy Zem",? $,,  02/05/2012,94 055,,Thriller,Etats-Unis,,,,,"
                SND","
                            Sans issue (2012)",https://www.jpbox-office.com/fichfilm.php?id=12272&view=2
"
                            Kevin Costner,
                            Gal Gadot,
                            Tommy Lee Jones,
                            Gary Oldman,
                            Ryan Reynolds",31 500 000 $,Brian Tyler,  04/05/2016,94 036,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Criminal - Un espion dans la tête",https://www.jpbox-office.com/fichfilm.php?id=15788&view=2
,25 000 000 $,,  14/06/1995,92 364,,Comédie,Etats-Unis,,,,,"
                Ciby Distribution","
                            Don Juan DeMarco",https://www.jpbox-office.com/fichfilm.php?id=4022&view=2
,23 000 000 $,,  11/07/2012,92 437,,Thriller,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                UGC Distribution","
                            Piégée",https://www.jpbox-office.com/fichfilm.php?id=12501&view=2
"
                            Zac Efron,
                            Matthew McConaughey,
                            John Cusack,
                            Nicole Kidman",,,  17/10/2012,92 532,,Thriller,Etats-Unis,,,,,"
                Metropolitan","
                            Paperboy",https://www.jpbox-office.com/fichfilm.php?id=12838&view=2
"
                            Michael Fassbender,
                            Antonio Banderas,
                            Mathieu Kassovitz,
                            Ewan McGregor,
                            Bill Paxton,
                            Channing Tatum,
                            Michael Douglas",23 000 000 $,,  11/07/2012,92 437,,Thriller,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                UGC Distribution","
                            Piégée",https://www.jpbox-office.com/fichfilm.php?id=12501&view=2
"
                            Zac Efron,
                            Matthew McConaughey,
                            John Cusack,
                            Nicole Kidman",12 500 000 $,,  17/10/2012,92 532,,Thriller,Etats-Unis,,,,,"
                Metropolitan","
                            Paperboy",https://www.jpbox-office.com/fichfilm.php?id=12838&view=2
,15 000 000 $,,  16/01/2008,92 291,,Romance,Chine,,"
                                    Ang Lee",,,"
                UGC Distribution","
                            Lust, Caution",https://www.jpbox-office.com/fichfilm.php?id=9908&view=2
,10 000 000 $,,  28/07/2010,90 911,,Thriller,Etats-Unis,,,,,"
                Metropolitan","
                            Phénomènes Paranormaux",https://www.jpbox-office.com/fichfilm.php?id=10996&view=2
,7 888 600 €,,  28/09/2016,91 222,,Drame,France,,,,,"
                Wild Bunch","
                            La Danseuse",https://www.jpbox-office.com/fichfilm.php?id=16231&view=2
"
                            Mélanie Thierry,
                            Gaspard Ulliel,
                            François Damiens",7 888 600 €,,  28/09/2016,91 222,,Drame,France,Alain Attal,,,,"
                Wild Bunch","
                            La Danseuse",https://www.jpbox-office.com/fichfilm.php?id=16231&view=2
,2 430 000 €,,  02/12/1998,91 212,,Drame,Brésil,,"
                                    Walter Salles",,,"
                Mars Distribution","
                            Central do Brasil",https://www.jpbox-office.com/fichfilm.php?id=3097&view=2
,2 430 000 €,,  02/12/1998,91 212,,Drame,Brésil,,"
                                    Walter Salles",,,"
                Mars Distribution","
                            Central do Brasil",https://www.jpbox-office.com/fichfilm.php?id=3097&view=2
,20 500 000 $,,  08/04/2009,90 899,,Romance,Grande-Bretagne,,"
                                    Stephen Frears",,,"
                Pathé","
                            Chéri",https://www.jpbox-office.com/fichfilm.php?id=10745&view=2
,75 000 000 $,,  18/10/2000,89 534,,Animation,Etats-Unis,,,,,"
                UFD","
                            Titan A.E.",https://www.jpbox-office.com/fichfilm.php?id=2526&view=2
,10 000 000 $,,  13/06/2018,89 652,,Horreur,Etats-Unis,,,,,"
                Metropolitan","
                            Hérédité",https://www.jpbox-office.com/fichfilm.php?id=17893&view=2
,8 000 000 $,,  26/05/1993,89 469,,Comédie,Etats-Unis,,"
                                    Kenneth Branagh",,,"
                UGC Distribution","
                            Beaucoup de bruit pour rien",https://www.jpbox-office.com/fichfilm.php?id=4561&view=2
"
                            Yvan Attal",,,  02/09/2009,89 668,,Comédie dramatique,France,,"
                                    Cédric Kahn",,,"
                Mars Distribution","
                            Les Regrets",https://www.jpbox-office.com/fichfilm.php?id=10807&view=2
"
                            Yvan Attal",? €,,  02/09/2009,89 668,,Comédie dramatique,France,,"
                                    Cédric Kahn",,,"
                Mars Distribution","
                            Les Regrets",https://www.jpbox-office.com/fichfilm.php?id=10807&view=2
,15 000 000 $,,  30/03/2011,89 737,,Drame,Etats-Unis,,,,,"
                Gaumont","
                            The Company Men",https://www.jpbox-office.com/fichfilm.php?id=11664&view=2
"
                            Ben Affleck,
                            Kevin Costner,
                            Tommy Lee Jones",15 000 000 $,,  30/03/2011,89 737,,Drame,Etats-Unis,,,,,"
                Gaumont","
                            The Company Men",https://www.jpbox-office.com/fichfilm.php?id=11664&view=2
,35 000 000 $,,  07/05/2014,88 534,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Sabotage",https://www.jpbox-office.com/fichfilm.php?id=13716&view=2
"
                            Vincent Lindon",,,  14/07/2021,88 523,,Drame,France,,,,,"
                Diaphana","
                            Titane",https://www.jpbox-office.com/fichfilm.php?id=21230&view=2
"
                            Vincent Lindon",7 430 000 €,,  14/07/2021,88 523,,Drame,France,,,,,"
                Diaphana","
                            Titane",https://www.jpbox-office.com/fichfilm.php?id=21230&view=2
"
                            Arnold Schwarzenegger,
                            Sam Worthington",35 000 000 $,,  07/05/2014,88 534,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Sabotage",https://www.jpbox-office.com/fichfilm.php?id=13716&view=2
,? $,,  28/10/2015,88 390,,Thriller,Espagne,,,,,"
                Metropolitan","
                            Regression",https://www.jpbox-office.com/fichfilm.php?id=15484&view=2
"
                            Ethan Hawke,
                            Emma Watson",? $,,  28/10/2015,88 390,,Thriller,Espagne,,,,,"
                Metropolitan","
                            Regression",https://www.jpbox-office.com/fichfilm.php?id=15484&view=2
,55 000 000 $,,  07/01/2004,87 082,,Comédie,Etats-Unis,,"
                                    Peter Farrelly",,,"
                UFD","
                            Deux en un",https://www.jpbox-office.com/fichfilm.php?id=1575&view=2
,12 000 000 $,,  07/09/2016,87 138,,Western,Etats-Unis,,,,,"
                Wild Bunch","
                            Comancheria",https://www.jpbox-office.com/fichfilm.php?id=15945&view=2
"
                            Sandra Bullock",,,  23/09/1998,87 443,,Romance,Etats-Unis,,,,,"
                UFD","
                            Ainsi va la vie (1998)",https://www.jpbox-office.com/fichfilm.php?id=3166&view=2
"
                            Matthew McConaughey,
                            Woody Harrelson",,,  16/06/1999,86 057,,Comédie,Etats-Unis,Brian Grazer,"
                                    Ron Howard",Remake,,"
                UIP","
                            En direct sur EdTV",https://www.jpbox-office.com/fichfilm.php?id=2796&view=2
"
                            Matthew McConaughey,
                            Woody Harrelson",60 000 000 $,,  16/06/1999,86 057,,Comédie,Etats-Unis,Brian Grazer,"
                                    Ron Howard",Remake,,"
                UIP","
                            En direct sur EdTV",https://www.jpbox-office.com/fichfilm.php?id=2796&view=2
"
                            Jessica Alba,
                            Antonio Banderas,
                            Mel Gibson,
                            Cuba Gooding Jr.,
                            Charlie Sheen",,,  02/10/2013,86 223,,Aventure - Action,Etats-Unis,,"
                                    Robert Rodriguez",,,"
                Wild Bunch","
                            Machete Kills",https://www.jpbox-office.com/fichfilm.php?id=13548&view=2
,7 500 000 $,,  29/07/1998,85 804,,Aventure - Action,Etats-Unis,,,,,"
                Bac Films","
                            Jackie Chan dans le Bronx",https://www.jpbox-office.com/fichfilm.php?id=3795&view=2
"
                            Jessica Alba,
                            Antonio Banderas,
                            Mel Gibson,
                            Cuba Gooding Jr.,
                            Charlie Sheen",17 000 000 $,,  02/10/2013,86 223,,Aventure - Action,Etats-Unis,,"
                                    Robert Rodriguez",,,"
                Wild Bunch","
                            Machete Kills",https://www.jpbox-office.com/fichfilm.php?id=13548&view=2
"
                            Willem Dafoe",,,  04/04/2007,86 135,,Animation,Japon,,,,,"
                Walt Disney Pictures","
                            Les Contes de Terremer",https://www.jpbox-office.com/fichfilm.php?id=78&view=2
"
                            Jackie Chan",7 500 000 $,,  29/07/1998,85 804,,Aventure - Action,Etats-Unis,,,,,"
                Bac Films","
                            Jackie Chan dans le Bronx",https://www.jpbox-office.com/fichfilm.php?id=3795&view=2
"
                            Willem Dafoe",? $,,  04/04/2007,86 135,,Animation,Japon,,,,,"
                Walt Disney Pictures","
                            Les Contes de Terremer",https://www.jpbox-office.com/fichfilm.php?id=78&view=2
,40 000 000 $,,  21/06/1995,84 988,,Film familial,Etats-Unis,,,,,"
                Warner Bros.","
                            Richie Rich",https://www.jpbox-office.com/fichfilm.php?id=4311&view=2
,47 500 000 $,,  07/09/2016,84 859,,Thriller,Etats-Unis,,,,,"
                ARP Selection","
                            The Infiltrator",https://www.jpbox-office.com/fichfilm.php?id=15935&view=2
,3 500 000 €,,  21/11/2018,84 007,,Drame,France,,,,,"
                Pyramide","
                            Amanda",https://www.jpbox-office.com/fichfilm.php?id=18672&view=2
"
                            Vincent Lacoste,
                            Jonathan Cohen",3 500 000 €,,  21/11/2018,84 007,,Drame,France,,,,,"
                Pyramide","
                            Amanda",https://www.jpbox-office.com/fichfilm.php?id=18672&view=2
,20 000 000 $,,  03/11/2004,84 065,,Drame,Etats-Unis,,,,,"
                Metropolitan","
                            Birth",https://www.jpbox-office.com/fichfilm.php?id=1210&view=2
,3 936 497 €,,  20/05/2015,84 181,,Drame,France,,,,,"
                Le Pacte","
                            Trois souvenirs de ma jeunesse",https://www.jpbox-office.com/fichfilm.php?id=15213&view=2
"
                            Nicole Kidman,
                            Anne Heche",20 000 000 $,Alexandre Desplat,  03/11/2004,84 065,,Drame,Etats-Unis,,,,,"
                Metropolitan","
                            Birth",https://www.jpbox-office.com/fichfilm.php?id=1210&view=2
"
                            Mathieu Amalric",3 936 497 €,,  20/05/2015,84 181,,Drame,France,,,,,"
                Le Pacte","
                            Trois souvenirs de ma jeunesse",https://www.jpbox-office.com/fichfilm.php?id=15213&view=2
,70 000 000 $,,  29/05/2002,84 139,,Guerre,Etats-Unis,,,,,"
                UFD","
                            Mission évasion",https://www.jpbox-office.com/fichfilm.php?id=1886&view=2
,? $,,  08/06/2011,84 041,,Thriller,Etats-Unis,,,,,"
                Metropolitan","
                            London Boulevard",https://www.jpbox-office.com/fichfilm.php?id=11971&view=2
"
                            Bruce Willis,
                            Colin Farrell,
                            Sam Worthington",70 000 000 $,,  29/05/2002,84 139,,Guerre,Etats-Unis,,,,,"
                UFD","
                            Mission évasion",https://www.jpbox-office.com/fichfilm.php?id=1886&view=2
,20 000 000 $,,  20/12/2017,82 140,,Drame,Etats-Unis,,,,,"
                Metropolitan","
                            Wonder",https://www.jpbox-office.com/fichfilm.php?id=17510&view=2
"
                            Virginie Efira,
                            Géraldine Nakache",,,  13/01/2016,81 813,,Comédie dramatique,France,,,Remake,,"
                Le Pacte","
                            Et ta soeur",https://www.jpbox-office.com/fichfilm.php?id=15644&view=2
"
                            Julia Roberts,
                            Owen Wilson",20 000 000 $,,  20/12/2017,82 140,,Drame,Etats-Unis,,,,,"
                Metropolitan","
                            Wonder",https://www.jpbox-office.com/fichfilm.php?id=17510&view=2
,55 000 000 $,,  24/09/2014,81 926,,Musical,Etats-Unis,,,,,"
                Universal","
                            Get On Up",https://www.jpbox-office.com/fichfilm.php?id=14422&view=2
,,,  03/11/2021,81 883,,Comédie dramatique,France,,"
                                    Jacques Audiard",,,"
                Memento Films","
                            Les Olympiades",https://www.jpbox-office.com/fichfilm.php?id=21243&view=2
"
                            Virginie Efira,
                            Géraldine Nakache",3 412 357 €,,  13/01/2016,81 813,,Comédie dramatique,France,,,Remake,,"
                Le Pacte","
                            Et ta soeur",https://www.jpbox-office.com/fichfilm.php?id=15644&view=2
"
                            Chadwick Boseman,
                            Viola Davis",55 000 000 $,Thomas Newman,  24/09/2014,81 926,,Musical,Etats-Unis,Brian Grazer,,,,"
                Universal","
                            Get On Up",https://www.jpbox-office.com/fichfilm.php?id=14422&view=2
,5 440 000 €,,  03/11/2021,81 883,,Comédie dramatique,France,,"
                                    Jacques Audiard",,,"
                Memento Films","
                            Les Olympiades",https://www.jpbox-office.com/fichfilm.php?id=21243&view=2
,35 000 000 $,,  08/11/2017,79 546,,Aventure - Action,Chine,,"
                                    Martin Campbell",,,"
                Metropolitan","
                            The Foreigner",https://www.jpbox-office.com/fichfilm.php?id=17358&view=2
"
                            Pierce Brosnan,
                            Jackie Chan",35 000 000 $,,  08/11/2017,79 546,,Aventure - Action,Chine,,"
                                    Martin Campbell",,,"
                Metropolitan","
                            The Foreigner",https://www.jpbox-office.com/fichfilm.php?id=17358&view=2
"
                            Ryan Reynolds",,,  09/07/2003,79 533,Franchise,Comédie,Etats-Unis,,,,,"
                Metropolitan","
                            American Party - Van Wilder, relations publiques",https://www.jpbox-office.com/fichfilm.php?id=1882&view=2
,40 000 000 $,,  23/03/1994,79 535,,Drame,Etats-Unis,,,,,"
                AMLF","
                            La Maison aux esprits",https://www.jpbox-office.com/fichfilm.php?id=4335&view=2
"
                            Ryan Reynolds",6 000 000 $,,  09/07/2003,79 533,Franchise,Comédie,Etats-Unis,,,,,"
                Metropolitan","
                            American Party - Van Wilder, relations publiques",https://www.jpbox-office.com/fichfilm.php?id=1882&view=2
"
                            Glenn Close,
                            Jeremy Irons,
                            Meryl Streep,
                            Antonio Banderas,
                            Winona Ryder",40 000 000 $,Hans Zimmer,  23/03/1994,79 535,,Drame,Etats-Unis,,,,,"
                AMLF","
                            La Maison aux esprits",https://www.jpbox-office.com/fichfilm.php?id=4335&view=2
"
                            Hugh Jackman,
                            Ewan McGregor,
                            Charlotte Rampling",,,  03/09/2008,79 737,,Thriller,Etats-Unis,,,,,"
                SND","
                            Manipulation",https://www.jpbox-office.com/fichfilm.php?id=10086&view=2
"
                            Jamie Lee Curtis",,,  30/10/2002,79 754,Franchise,Horreur,Etats-Unis,,,,,"
                TFM Distribution","
                            Halloween: Resurrection",https://www.jpbox-office.com/fichfilm.php?id=1920&view=2
"
                            Oliver Gourmet",,,  23/10/2002,79 989,,Drame,Belgique,,"
                                    - Dardenne (frères)",,,"
                Diaphana","
                            Le Fils",https://www.jpbox-office.com/fichfilm.php?id=1872&view=2
"
                            Hugh Jackman,
                            Ewan McGregor,
                            Charlotte Rampling",25 000 000 $,,  03/09/2008,79 737,,Thriller,Etats-Unis,,,,,"
                SND","
                            Manipulation",https://www.jpbox-office.com/fichfilm.php?id=10086&view=2
"
                            Jamie Lee Curtis",15 000 000 $,,  30/10/2002,79 754,Franchise,Horreur,Etats-Unis,,,,,"
                TFM Distribution","
                            Halloween: Resurrection",https://www.jpbox-office.com/fichfilm.php?id=1920&view=2
"
                            Oliver Gourmet",? $,,  23/10/2002,79 989,,Drame,Belgique,,"
                                    - Dardenne (frères)",,,"
                Diaphana","
                            Le Fils",https://www.jpbox-office.com/fichfilm.php?id=1872&view=2
,30 000 000 $,,  10/08/2005,78 428,,Romance,Etats-Unis,,,,,"
                SND","
                            7 ans de séduction",https://www.jpbox-office.com/fichfilm.php?id=884&view=2
"
                            Liev Schreiber,
                            Paul Dano",,Danny Elfman,  23/09/2009,78 441,,Comédie,Etats-Unis,,"
                                    Ang Lee",,,"
                Universal","
                            Hôtel Woodstock",https://www.jpbox-office.com/fichfilm.php?id=10796&view=2
"
                            Ashton Kutcher",30 000 000 $,,  10/08/2005,78 428,,Romance,Etats-Unis,,,,,"
                SND","
                            7 ans de séduction",https://www.jpbox-office.com/fichfilm.php?id=884&view=2
"
                            Liev Schreiber,
                            Paul Dano",30 000 000 $,Danny Elfman,  23/09/2009,78 441,,Comédie,Etats-Unis,,"
                                    Ang Lee",,,"
                Universal","
                            Hôtel Woodstock",https://www.jpbox-office.com/fichfilm.php?id=10796&view=2
,? €,,  20/10/2021,77 699,,Comédie,France,,,,,"
                UGC Distribution","
                            Tout nous sourit",https://www.jpbox-office.com/fichfilm.php?id=20553&view=2
"
                            Harrison Ford",,Alexandre Desplat,  05/04/2006,77 647,,Thriller,Etats-Unis,,,,,"
                Warner Bros.","
                            Firewall",https://www.jpbox-office.com/fichfilm.php?id=524&view=2
"
                            Harrison Ford",60 000 000 $,Alexandre Desplat,  05/04/2006,77 647,,Thriller,Etats-Unis,,,,,"
                Warner Bros.","
                            Firewall",https://www.jpbox-office.com/fichfilm.php?id=524&view=2
"
                            Elsa Zylberstein",? €,,  20/10/2021,77 699,,Comédie,France,,,,,"
                UGC Distribution","
                            Tout nous sourit",https://www.jpbox-office.com/fichfilm.php?id=20553&view=2
,10 570 000 €,,  25/04/2007,77 338,,Comédie,France,,,,,"
                EuropaCorp","
                            Love (et ses petits désastres)",https://www.jpbox-office.com/fichfilm.php?id=91&view=2
"
                            Orlando Bloom,
                            Gwyneth Paltrow",10 570 000 €,,  25/04/2007,77 338,,Comédie,France,Luc Besson,,,,"
                EuropaCorp","
                            Love (et ses petits désastres)",https://www.jpbox-office.com/fichfilm.php?id=91&view=2
"
                            Angela Basset",,,  17/02/1993,76 732,,Horreur,Etats-Unis,,"
                                    John Landis",,,"
                Warner Bros.","
                            Innocent Blood",https://www.jpbox-office.com/fichfilm.php?id=4872&view=2
"
                            Charlotte Rampling",,,  27/01/2016,76 662,,Comédie dramatique,Grande-Bretagne,,,,,"
                Ad vitam","
                            45 Ans",https://www.jpbox-office.com/fichfilm.php?id=15682&view=2
"
                            Angela Basset",? $,,  17/02/1993,76 732,,Horreur,Etats-Unis,,"
                                    John Landis",,,"
                Warner Bros.","
                            Innocent Blood",https://www.jpbox-office.com/fichfilm.php?id=4872&view=2
"
                            Charlotte Rampling",? $,,  27/01/2016,76 662,,Comédie dramatique,Grande-Bretagne,,,,,"
                Ad vitam","
                            45 Ans",https://www.jpbox-office.com/fichfilm.php?id=15682&view=2
"
                            Yvan Attal,
                            François Cluzet,
                            Charlotte Gainsbourg",,,  03/10/2012,76 708,,Comédie,France,,"
                                    Yvan Attal",Remake,,"
                UGC Distribution","
                            Do Not Disturb",https://www.jpbox-office.com/fichfilm.php?id=12946&view=2
,47 000 000 $,,  16/11/2011,77 846,,Drame,Etats-Unis,,,,,"
                Sony Pictures","
                            Le Stratège",https://www.jpbox-office.com/fichfilm.php?id=12281&view=2
"
                            Yvan Attal,
                            François Cluzet,
                            Charlotte Gainsbourg",8 002 139 €,,  03/10/2012,76 708,,Comédie,France,,"
                                    Yvan Attal",Remake,,"
                UGC Distribution","
                            Do Not Disturb",https://www.jpbox-office.com/fichfilm.php?id=12946&view=2
,15 000 000 $,,  09/04/2008,76 338,,Comédie dramatique,Etats-Unis,,,,,"
                ARP Selection","
                            Pénélope",https://www.jpbox-office.com/fichfilm.php?id=271&view=2
,53 000 000 $,,  22/05/2002,76 307,,Thriller,Etats-Unis,,,,,"
                UIP","
                            L'Intrus (2001)",https://www.jpbox-office.com/fichfilm.php?id=2245&view=2
,61 500 000 $,,  03/03/1999,76 512,Franchise,Science Fiction,Etats-Unis,,,,,"
                UIP","
                            Star Trek: Insurrection",https://www.jpbox-office.com/fichfilm.php?id=3188&view=2
,61 500 000 $,Jerry Goldsmith,  03/03/1999,76 512,Franchise,Science Fiction,Etats-Unis,,,,,"
                UIP","
                            Star Trek: Insurrection",https://www.jpbox-office.com/fichfilm.php?id=3188&view=2
,120 000 000 $,,  26/01/2011,75 105,,Romance,Etats-Unis,,"
                                    James L. Brooks",,,"
                Sony Pictures","
                            Comment savoir ?",https://www.jpbox-office.com/fichfilm.php?id=11695&view=2
"
                            Jason Bateman",,,  18/04/2018,75 209,,Comédie,Etats-Unis,,,,,"
                Warner Bros.","
                            Game Night",https://www.jpbox-office.com/fichfilm.php?id=17830&view=2
"
                            Jeremy Irons,
                            Charlotte Rampling,
                            Forest Whitaker",,,  15/08/2001,75 134,,Thriller,Grande-Bretagne,,,,,"
                Cinevia","
                            Vengeance secrète",https://www.jpbox-office.com/fichfilm.php?id=2250&view=2
"
                            Keira Knightley",,,  16/01/2019,75 393,,Drame,Etats-Unis,,,,,"
                Mars Distribution","
                            Colette",https://www.jpbox-office.com/fichfilm.php?id=18512&view=2
"
                            Jason Bateman",37 000 000 $,,  18/04/2018,75 209,,Comédie,Etats-Unis,,,,,"
                Warner Bros.","
                            Game Night",https://www.jpbox-office.com/fichfilm.php?id=17830&view=2
"
                            Frances McDormand,
                            Liam Neeson",,Danny Elfman,  14/11/1990,75 298,,Comicbook,Etats-Unis,,"
                                    Sam Raimi",,,"
                UIP","
                            Darkman",https://www.jpbox-office.com/fichfilm.php?id=5341&view=2
"
                            Keira Knightley",? $,,  16/01/2019,75 393,,Drame,Etats-Unis,,,,,"
                Mars Distribution","
                            Colette",https://www.jpbox-office.com/fichfilm.php?id=18512&view=2
"
                            Jeremy Irons,
                            Charlotte Rampling,
                            Forest Whitaker",106 441 ,,  15/08/2001,75 134,,Thriller,Grande-Bretagne,,,,,"
                Cinevia","
                            Vengeance secrète",https://www.jpbox-office.com/fichfilm.php?id=2250&view=2
"
                            Frances McDormand,
                            Liam Neeson",16 000 000 $,Danny Elfman,  14/11/1990,75 298,,Comicbook,Etats-Unis,,"
                                    Sam Raimi",,,"
                UIP","
                            Darkman",https://www.jpbox-office.com/fichfilm.php?id=5341&view=2
,25 000 000 $,,  29/09/2021,74 266,,Horreur,Etats-Unis,,,Remake,,"
                Universal","
                            Candyman (2021)",https://www.jpbox-office.com/fichfilm.php?id=20734&view=2
"
                            Richard Dreyfuss,
                            Madeleine Stowe",,,  05/01/1994,74 329,,Comédie,Etats-Unis,,"
                                    John Badham",,,"
                GBVI","
                            Indiscrétion assurée",https://www.jpbox-office.com/fichfilm.php?id=4644&view=2
,13 000 000 $,,  09/03/2016,74 270,,Drame,Canada,,,,,"
                Universal","
                            Room",https://www.jpbox-office.com/fichfilm.php?id=15536&view=2
"
                            Noomi Rapace",,,  13/02/2013,74 253,,Thriller,Etats-Unis,,"
                                    Brian De Palma",Remake,,"
                ARP Selection","
                            Passion (2013)",https://www.jpbox-office.com/fichfilm.php?id=12924&view=2
"
                            Noomi Rapace",18 000 844 €,,  13/02/2013,74 253,,Thriller,Etats-Unis,,"
                                    Brian De Palma",Remake,,"
                ARP Selection","
                            Passion (2013)",https://www.jpbox-office.com/fichfilm.php?id=12924&view=2
"
                            Morgan Freeman,
                            John Cusack",,,  11/07/2007,74 260,,Thriller,Etats-Unis,,"
                                    Bruce Beresford",,,"
                Metropolitan","
                            Le Contrat (2007)",https://www.jpbox-office.com/fichfilm.php?id=137&view=2
"
                            Richard Dreyfuss,
                            Madeleine Stowe",? $,,  05/01/1994,74 329,,Comédie,Etats-Unis,,"
                                    John Badham",,,"
                GBVI","
                            Indiscrétion assurée",https://www.jpbox-office.com/fichfilm.php?id=4644&view=2
"
                            Morgan Freeman,
                            John Cusack",25 000 000 $,,  11/07/2007,74 260,,Thriller,Etats-Unis,,"
                                    Bruce Beresford",,,"
                Metropolitan","
                            Le Contrat (2007)",https://www.jpbox-office.com/fichfilm.php?id=137&view=2
"
                            William H. Macy",13 000 000 $,,  09/03/2016,74 270,,Drame,Canada,,,,,"
                Universal","
                            Room",https://www.jpbox-office.com/fichfilm.php?id=15536&view=2
"
                            Judi Dench,
                            Richard Gere,
                            Dev Patel",,Thomas Newman,  01/04/2015,73 760,,Comédie dramatique,Grande-Bretagne,,,,,"
                20th Century Fox","
                            Indian Palace - Suite royale",https://www.jpbox-office.com/fichfilm.php?id=15018&view=2
,15 000 000 $,,  18/03/1998,73 788,,Drame,Etats-Unis,,"
                                    Paul Thomas Anderson",,,"
                Metropolitan","
                            Boogie Nights",https://www.jpbox-office.com/fichfilm.php?id=3483&view=2
,35 000 000 $,,  26/06/2013,73 624,,Thriller,Etats-Unis,,,,,"
                Studiocanal","
                            Broken City",https://www.jpbox-office.com/fichfilm.php?id=13108&view=2
"
                            Judi Dench,
                            Richard Gere,
                            Dev Patel",10 000 000 $,Thomas Newman,  01/04/2015,73 760,,Comédie dramatique,Grande-Bretagne,,,,,"
                20th Century Fox","
                            Indian Palace - Suite royale",https://www.jpbox-office.com/fichfilm.php?id=15018&view=2
,157 270 ,,  31/08/2022,73 581,,Drame,France,,"
                                    Claire Denis",,,"
                Ad vitam","
                            Avec amour et acharnement",https://www.jpbox-office.com/fichfilm.php?id=21936&view=2
,10 141 970 €,,  20/07/2005,73 667,,Drame,France,,"
                                    Cédric Kahn",,,"
                Pathé","
                            L'Avion",https://www.jpbox-office.com/fichfilm.php?id=871&view=2
