acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Joaquin Phoenix,
                            Robert De Niro",55 000 000 $,,  09/10/2019,1 606 425,,Comicbook,Etats-Unis,,"
                                    Todd Phillips",,,"
                Warner Bros.","
                            Joker",https://www.jpbox-office.com/fichfilm.php?id=18661&view=2
"
                            Tom Cruise,
                            Brendan Gleeson,
                            Anthony Hopkins",125 000 000 $,Hans Zimmer,  26/07/2000,1 610 166,Franchise,Aventure - Action,Etats-Unis,Paula Wagner,"
                                    John Woo",,,"
                UIP","
                            Mission: Impossible 2",https://www.jpbox-office.com/fichfilm.php?id=2401&view=2
"
                            Audrey Tautou,
                            Gaspard Ulliel,
                            Clovis Cornillac,
                            Marion Cotillard,
                            Jean-Pierre Darroussin,
                            Albert Dupontel,
                            André Dussollier,
                            Jodie Foster,
                            Jean-Paul Rouve,
                            Julie Depardieu",45 887 769 €,,  27/10/2004,1 618 337,,Drame,France,,"
                                    Jean-Pierre Jeunet",,,"
                Warner Bros.","
                            Un long dimanche de fiançailles",https://www.jpbox-office.com/fichfilm.php?id=1048&view=2
,250 000 000 $,,  11/12/2013,1 619 507,Franchise,Fantasy,Etats-Unis,,"
                                    Peter Jackson",,,"
                Warner Bros.","
                            Le Hobbit : la Désolation de Smaug",https://www.jpbox-office.com/fichfilm.php?id=12995&view=2
"
                            Cate Blanchett,
                            Orlando Bloom,
                            Luke Evans,
                            Ian McKellen,
                            Benedict Cumberbatch",250 000 000 $,Howard Shore,  11/12/2013,1 619 507,Franchise,Fantasy,Etats-Unis,,"
                                    Peter Jackson",,,"
                Warner Bros.","
                            Le Hobbit : la Désolation de Smaug",https://www.jpbox-office.com/fichfilm.php?id=12995&view=2
,200 000 000 $,,  14/07/2010,1 276 905,Franchise,Animation,Etats-Unis,,"
                                    Lee Unkrich",,,"
                Walt Disney Pictures","
                            Toy Story 3",https://www.jpbox-office.com/fichfilm.php?id=10367&view=2
"
                            Jeff Goldblum,
                            Bryce Dallas Howard,
                            Chris Pratt,
                            Sam Neill,
                            Omar Sy",,,  08/06/2022,1 299 065,Franchise,Aventure - Action,Etats-Unis,Frank Marshall,"
                                    Colin Trevorrow",,,"
                Universal","
                            Jurassic World: Le Monde d'après",https://www.jpbox-office.com/fichfilm.php?id=20222&view=2
,160 000 000 $,,  22/03/2017,1 281 588,,Fantasy,Etats-Unis,,"
                                    Bill Condon",,,"
                Walt Disney Pictures","
                            La Belle et la Bête (2017)",https://www.jpbox-office.com/fichfilm.php?id=16412&view=2
"
                            Tom Hanks,
                            Tim Allen,
                            Michael Keaton,
                            Benoît Magimel",200 000 000 $,,  14/07/2010,1 276 905,Franchise,Animation,Etats-Unis,John Lasseter,"
                                    Lee Unkrich",,,"
                Walt Disney Pictures","
                            Toy Story 3",https://www.jpbox-office.com/fichfilm.php?id=10367&view=2
"
                            Emma Watson,
                            Luke Evans,
                            Kevin Kline,
                            Ewan McGregor,
                            Ian McKellen,
                            Emma Thompson",160 000 000 $,,  22/03/2017,1 281 588,,Fantasy,Etats-Unis,,"
                                    Bill Condon",,,"
                Walt Disney Pictures","
                            La Belle et la Bête (2017)",https://www.jpbox-office.com/fichfilm.php?id=16412&view=2
