acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre,Nb_celebrites,Est_Top_Studio
"Virginie Efira,Melvil Poupaud,Dominique Reymond",8,105,220327,"Drame,Thriller",France,Valérie Donzelli,Diaphana Distribution,L'Amour et les Forêts,1,0
"Océane Demontis,Ariana DeBose,Lambert Wilson",8,102,628897,"Aventure,Animation,Famille",U.S.A.,"Chris Buck,Fawn Veerasunthorn",The Walt Disney Company France,Wish - Asha et la bonne étoile,1,0
"Sandra Bullock,Channing Tatum,Daniel Radcliffe",9,112,317713,"Action,Aventure,Comédie",U.S.A.,"Aaron Nee,Adam Nee",Paramount Pictures France,Le Secret de la cité perdue,3,0
"John Malkovich,Fanny Ardant,Emilie Dequenne",7,110,112355,"Comédie,Drame,Romance",Luxembourg,Gilles Legardinier,Universal Pictures International France,Complètement cramé !,0,0
"Jean-Paul Rouve,Kim Higelin,Laetitia Casta",10,118,59266,"Biopic,Drame",France,Vanessa Filho,Pan Distribution,Le Consentement,1,0
"Laurent Lafitte,Stacy Martin,Bertrand de Roffignac",8,94,31266,"Biopic,Comédie dramatique,Historique",France,Olivier Py,Memento Distribution,Le Molière imaginaire,1,0
"Juliette Binoche,Benoît Magimel,Emmanuel Salinger",11,136,94401,"Drame,Historique,Romance",France,Tran Anh Hung,Gaumont Distribution,La Passion de Dodin Bouffant,2,0
"Gérard Depardieu,Catherine Frot,Jean-Pierre Darroussin",8,101,75111,"Drame,Historique",France,Lucas Belvaux,Ad Vitam,Des hommes,1,0
"Didier Bourdon,Hakim Jemili,Camille Lou",9,101,329408,Comédie,France,"Antonin Fourlon,Frédéric Forestier",UGC Distribution,Chasse gardée,0,0
"Magalie Lépine Blondeau,Pierre-Yves Cardinal,Francis-William Rhéaume",5,110,77363,"Comédie,Romance",Canada,Monia Chokri,Memento Distribution,Simple comme Sylvain,0,0
"Karim Leklou,Vimala Pons,François Chattot",6,108,23621,"Comédie,Drame,Fantastique",France,Stephan Castang,Capricci Films,Vincent doit mourir,0,0
"Tom Blyth,Rachel Zegler,Peter Dinklage",9,158,613191,"Action,Aventure,Science Fiction",U.S.A.,Francis Lawrence,Metropolitan FilmExport,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,0,0
"Joel Edgerton,Sigourney Weaver,Quintessa Swindell",5,110,20443,"Drame,Romance,Thriller",U.S.A.,Paul Schrader,The Jokers / Les Bookmakers,Master Gardener,0,0
"Sofía Otero,Patricia López Arnaiz,Ane Gabarain",6,128,15669,Drame,Espagne,Estibaliz Urresola Solaguren,Jour2fête,20 000 espèces d'abeilles,0,0
"Arieh Worthalter,Arthur Harari,Stéphan Guérin-Tillié",11,116,110011,"Policier,Drame,Historique",France,Cédric Kahn,Ad Vitam,Le Procès Goldman,0,0
"Ichem Bougheraba,Emma Smet,Arriles Amrani",7,102,344268,Comédie,France,"Ali Boughéraba,Hakim Boughéraba",Apollo Films,Les SEGPA au ski,0,0
"Zac Efron,Harris Dickinson,Jeremy Allen White",12,133,46627,"Biopic,Drame",Grande-Bretagne,Sean Durkin,Metropolitan FilmExport,Iron Claw,1,0
"Paul Giamatti,Da’vine Joy Randolph,Dominic Sessa",10,134,57639,"Comédie,Drame",U.S.A.,Alexander Payne,Universal Pictures International France,Winter Break,0,0
"Jared Leto,Matt Smith (XI),Adria Arjona",14,105,403848,"Action,Aventure,Fantastique",U.S.A.,Daniel Espinosa,Sony Pictures Releasing France,Morbius,1,0
"Enea Sala,Leonardo Maltese,Paolo Pierobon",5,135,85243,Drame,Italie,Marco Bellocchio,Ad Vitam,L'Enlèvement,0,0
"Seydou Sarr,Moustapha Fall,Issaka Sawadogo",9,122,65137,Drame,Italie,Matteo Garrone,Pathé,Moi capitaine,0,1
"Michael Zindel,Agnès Jaoui,Solal Bouloudnine",5,90,64165,Comédie dramatique,France,Noé Debré,Ad Vitam,Le Dernier des Juifs,0,0
"Jalal Altawil,Maja Ostaszewska,Behi Djanati Ataï",5,152,18130,Drame,Pologne,Agnieszka Holland,Condor Distribution,Green Border,0,0
"Ben Affleck,Alice Braga,JD Pardo",8,90,189754,"Action,Thriller",U.S.A.,Robert Rodriguez,SND,Hypnotic,1,1
" D’Jal,Grégoire Bonnet,Aurélie Boquien",5,94,122868,Comédie,France,Frank Cimière,Sony Pictures Releasing France,Opération Portugal 2: la vie de château,0,0
"Greta Lee,Yoo Teo,John Magaro",6,106,40381,Drame,U.S.A.,Celine Song,ARP Sélection,Past Lives – Nos vies d’avant,0,0
"Chloé Jouannet,Pascale Arbillot,Louise Coldefy",8,108,59453,Comédie,France,Noémie Lefort,Universal Pictures International France,Mon héroïne,0,0
"Vincent Dedienne,Géraldine Nakache,Clémence Poésy",9,101,46091,Comédie,France,Rudy Milstein,Paname Distribution,Je ne suis pas un héros,1,0
"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim",12,158,764419,"Aventure,Biopic,Historique",Grande-Bretagne,Ridley Scott,Sony Pictures Releasing France,Napoléon,4,0
