,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,remake,salles_premiere_semaine,titre,scoring_acteurs_realisateurs,season,coeff_studio
59,97000000,Howard Shore,2003-01-08,170,869475,,Drame,Etats-Unis,,,786,Gangs of New York,0.8620689655172414,Hiver,2
60,60000000,,2010-01-13,134,866723,,Drame,Etats-Unis,,,468,Invictus,0.7931034482758621,Hiver,3
61,70000000,Danny Elfman,2000-02-09,105,816121,,Fantasy,Etats-Unis,,,375,Sleepy Hollow,0.4137931034482758,Hiver,2
62,185000000,,2019-10-16,119,786485,,Fantasy,Etats-Unis,,,536,Maléfique : Le Pouvoir du Mal,0.2068965517241379,Automne,3
63,120000000,,2004-07-28,120,788519,,Science Fiction,Etats-Unis,Will Smith,,749,"I, Robot",0.3448275862068966,Été,2
64,9458736,,2015-12-02,93,801212,,Comédie,France,,,553,Babysitting 2,0.1034482758620689,Hiver,3
65,225000000,Danny Elfman,2012-05-23,106,802879,Franchise,Science Fiction,Etats-Unis,Steven Spielberg,,782,Men in Black 3,0.5862068965517242,Printemps,3
66,140000000,Hans Zimmer,2004-01-14,144,729476,,Aventure - Action,Etats-Unis,Paula Wagner,,600,Le Dernier samouraï,0.5862068965517241,Hiver,3
67,135000000,,2006-08-16,135,730466,,Aventure - Action,Etats-Unis,,,669,Miami vice - Deux flics à Miami,0.1034482758620689,Été,0
68,200000000,,2023-02-15,125,735356,Franchise,Comicbook,Etats-Unis,,,625,Ant-Man et la Guêpe : Quantumania,0.0,Hiver,3
69,4950000,,2022-02-16,97,663787,,Comédie,France,,,527,Maison de Retraite,0.4137931034482758,Hiver,2
70,10670000,,2005-06-15,125,662329,Franchise,Comédie,France,,,550,Les Poupées russes,0.3448275862068966,Été,0
71,52000000,Thomas Newman,2000-04-26,131,668065,,Drame,Etats-Unis,,,571,Erin Brockovich,0.2068965517241379,Printemps,3
72,94000000,,2018-03-14,122,667523,,Aventure - Action,Etats-Unis,,,553,Tomb Raider,0.0,Printemps,3
73,165000000,,2010-03-31,93,674114,Franchise,Animation,Etats-Unis,,,698,Dragons 3D,0.1379310344827586,Printemps,3
74,103000000,,2014-04-09,102,668971,,Animation,Etats-Unis,,,657,Rio 2,0.1034482758620689,Printemps,3
75,110000000,James Newton Howard,2010-08-25,99,672870,,Thriller,Etats-Unis,Lorenzo di Bonaventura,,542,Salt,0.2068965517241379,Été,3
76,165000000,,2016-07-20,120,666332,Franchise,Science Fiction,Etats-Unis,Dean Devlin,,606,Independence Day Resurgence,0.1034482758620689,Été,3
77,70000000,John Williams,1997-11-26,135,672461,,Aventure - Action,Etats-Unis,,,379,Sept ans au Tibet,0.4482758620689655,Automne,1
78,117000000,,2010-07-28,130,664322,,Comédie,Etats-Unis,,Remake,612,Night & Day,0.5862068965517241,Été,3
79,120000000,,2003-07-16,105,666221,Franchise,Aventure - Action,Etats-Unis,,,706,Charlie's Angels: Les anges se déchaînent,0.0344827586206896,Été,3
80,170000000,,2015-07-01,126,666495,Franchise,Science Fiction,Etats-Unis,,,770,Terminator: Genisys,0.0689655172413793,Été,3
81,24000000,,2007-01-24,102,670642,Franchise,Aventure - Action,Etats-Unis,,,493,Rocky Balboa,0.3448275862068966,Hiver,3
82,52161991,Hans Zimmer,2015-07-29,108,641055,,Animation,France,,,727,Le Petit Prince,0.896551724137931,Été,3
83,85000000,,2008-02-20,90,626887,,Aventure - Action,Etats-Unis,,,586,Jumper,0.3448275862068966,Hiver,3
84,60000000,,2012-12-26,131,642306,,Aventure - Action,Etats-Unis,Tom Cruise,,544,Jack Reacher,0.5862068965517241,Hiver,3
85,31940000,Eric Serra,2010-04-14,107,642629,,Aventure - Action,France,Luc Besson,,636,Les Aventures extraordinaires d'Adèle Blanc-Sec,0.2758620689655172,Printemps,2
86,17540562,,2016-12-07,115,626789,,Comédie dramatique,France,,Remake,595,Demain tout commence,0.2068965517241379,Hiver,0
87,190000000,,2017-03-08,118,625572,Franchise,Aventure - Action,Etats-Unis,,,541,Kong: Skull Island,0.1034482758620689,Printemps,3
88,180000000,James Newton Howard,2014-05-28,97,627607,,Fantasy,Etats-Unis,,,550,Maléfique (2014),0.2068965517241379,Printemps,3
89,35000000,,2012-01-11,137,627624,,Drame,Etats-Unis,Brian Grazer,,477,J. Edgar,0.8275862068965517,Hiver,3
90,93050117,,2013-08-14,109,608085,,Science Fiction,Etats-Unis,,,468,Elysium,0.4137931034482758,Été,3
91,65000000,,1999-09-15,159,612882,,Drame,Etats-Unis,,,591,Eyes Wide Shut,0.9655172413793104,Automne,3
92,100000000,,2023-11-15,165,613191,Franchise,Fantasy,Etats-Unis,,,660,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,0.0,Automne,0
93,200000000,,2013-07-10,104,587446,,Animation,Etats-Unis,John Lasseter,,686,Monstres Academy,0.2413793103448276,Été,3
94,130000000,,2005-05-04,145,586771,,Aventure - Action,Etats-Unis,Ridley Scott,,491,Kingdom of Heaven,0.0,Printemps,2
95,90000000,Howard Shore,2006-11-29,149,616912,,Thriller,Etats-Unis,Brad Pitt,Remake,649,Les Infiltrés,1.793103448275862,Automne,2
96,110000000,,1997-07-09,125,567917,Franchise,Comicbook,Etats-Unis,,,542,Batman et Robin,0.4827586206896551,Été,3
97,0,,2017-08-30,123,573072,,Science Fiction,Etats-Unis,,,339,Seven Sisters,0.0344827586206896,Été,2
98,75000000,James Newton Howard,2001-02-21,125,554437,,Aventure - Action,Etats-Unis,,,602,Vertical Limit,0.0,Hiver,3
99,12015059,,2014-01-08,106,554846,,Comédie dramatique,France,,,326,Yves Saint Laurent,0.1379310344827586,Hiver,2
100,20000000,,1998-06-24,110,553295,,Thriller,Etats-Unis,,,223,Sexcrimes,0.0,Été,3
101,181620000,,2005-01-05,170,555074,,Péplum,Etats-Unis,,,530,Alexandre,0.7241379310344828,Hiver,2
102,9500000,,1993-01-27,105,518997,Franchise,Comédie,France,,Remake,223,Les Visiteurs,0.1034482758620689,Hiver,2
103,42000000,,2000-12-13,84,520026,,Animation,Etats-Unis,,,506,Chicken Run,0.6206896551724138,Hiver,2
104,0,,2016-03-23,102,521744,,Comédie dramatique,France,,,418,Médecin de campagne,0.1724137931034483,Printemps,2
105,14932668,,2011-09-21,100,521424,,Comédie,France,,Remake,539,La Nouvelle guerre des boutons,0.4482758620689655,Automne,0
106,135000000,Hans Zimmer,2011-03-23,107,519450,,Animation,Etats-Unis,,,626,Rango,0.2758620689655172,Printemps,3
107,22840010,,2014-12-03,135,521078,,Thriller,France,,,644,La French,0.7241379310344828,Hiver,2
108,15000000,Alexandre Desplat,2011-02-02,118,494161,,Drame,Grande-Bretagne,,,260,Le Discours d'un roi,0.2068965517241379,Hiver,0
109,50000000,,2018-04-04,93,495488,,Film familial,Etats-Unis,,,550,Pierre Lapin,0.4827586206896552,Printemps,3
110,85000000,,2022-12-07,100,495040,,Animation,Etats-Unis,,,700,Le Chat Potté 2 : la dernière quête,0.0,Hiver,3
111,30000000,,1996-03-27,81,496820,Franchise,Animation,Etats-Unis,,,455,Toy Story,0.3448275862068966,Printemps,2
112,80000000,,1997-09-10,139,470941,,Aventure - Action,Etats-Unis,,,410,Volte/Face,0.1724137931034483,Automne,2
113,80000000,James Horner,1997-03-26,111,471679,,Thriller,Etats-Unis,,,411,Ennemis rapprochés,0.5517241379310345,Printemps,3
